,district,data_street,rooms,area,price_eur,period,cur_floor,total_floor,lift,seria,house_type,facilities,len,lon,wifi
223,центр,Базницас 13,1,18.0,235,30,1,5,0,Дов. дом,Каменный,,56.9565811,24.1184835,0
224,Саркандаугава,Хапсалас 5,1,18.0,120,30,5,5,0,М. сем.,Кирпичный,Парковочное место,57.0011886756618,24.1211689226417,0
225,центр,Госпиталю 23,3,85.0,700,30,4,7,0,Нов.,Кирпично-панельный,,56.9715236,24.1363519,0
226,Плявниеки,Каудзишу 3,1,40.0,250,30,9,9,1,М. сем.,Панельный,Лоджия,56.941092,24.1977523,0
227,Пурвциемс,Виршу 8,3,71.0,520,30,7,12,1,104-я,Панельный,"Лоджия, Парковочное место",56.9520082,24.1814555,0
228,центр,Лачплеша 51,4,110.0,1150,30,4,6,1,Дов. дом,Каменный,Балкон,56.9523461,24.1296092,1
229,Золитуде,Золитудес 46,3,100.0,600,30,2,4,0,Нов.,Каменный,,56.942406994272204,24.006659176376914,0
230,Кенгарагс,Маскавас 268/6,1,31.0,270,30,1,5,0,Хрущ.,Кирпично-панельный,Парковочное место,56.9054554,24.1849419,0
231,центр,Бривибас 156,1,25.0,400,30,2,5,0,М. сем.,Кирпичный,,56.9652394,24.1426673,0
232,Саркандаугава,Твайка 16,1,30.0,250,30,5,5,0,Хрущ.,Кирпичный,,56.99948061574625,24.118219614028934,0
233,центр,Чака 80,1,22.0,300,30,1,2,0,Рекон.,Кирпичный,,56.95615271581446,24.137917757034305,0
234,р-н ул.Краста,Салацас 32,1,32.0,220,30,6,9,1,467-я,Панельный,,56.9261127,24.1723643,0
235,Пурвциемс,Илукстес 54/2,1,36.0,220,30,4,5,0,М. сем.,Панельный,Лоджия,56.9503161,24.19972,0
236,Кипсала,Кипсалас 4,2,52.0,700,30,3,4,0,Нов.,Каменный,"Балкон, Парковочное место",56.9518659,24.0839351,0
237,Зиепниеккалнс,Виенибас Г. 192,2,57.0,340,30,1,6,0,Нов.,Каменный,,56.8999516,24.080068,0
238,центр,Катринас Д. 24,1,48.0,220,30,1,1,0,Ч. дом,Деревянный,,56.9734403,24.1038903,0
239,Межапарк,Кемпес 3,2,46.0,315,30,4,12,1,Спец. пр.,Кирпичный,Лоджия,56.9676941,24.1056221,0
240,Югла,Бривибас гатве 357,2,41.8,360,30,2,5,0,Хрущ.,Кирпичный,Балкон,56.9869274,24.2173433,0
241,Кенгарагс,Маскавас 260/2,2,44.0,300,30,2,5,0,Лит. пр.,Панельный,Балкон,56.9090883,24.1805735,0
242,Плявниеки,Ясмуйжас 3,2,50.0,420,30,2,7,1,602-я,Панельный,,56.9376953,24.2093368,0
243,центр,Вагону 22,1,28.0,370,30,2,5,0,Рекон.,Каменный,,56.9488427,24.1503632,0
244,Кенгарагс,Кенгарага 7,3,59.0,450,30,3,5,0,Лит. пр.,Панельный,Балкон,56.9153863,24.1694864,0
245,Агенскалнс,Агенскална 22,1,30.0,300,30,2,5,0,Хрущ.,Кирпичный,,56.945081,24.0608192,0
246,Саркандаугава,Виестура пр. 61,1,35.0,220,30,3,9,0,Спец. пр.,Кирпичный,,57.005122,24.1268437,0
247,центр,Курбада 1a,2,56.0,500,30,2,4,0,Дов. дом,Каменный,Парковочное место,56.9480729,24.1375824,0
248,центр,Чака 114,1,16.0,220,30,2,5,0,Дов. дом,Каменный,,56.9595686,24.1435601,0
249,центр,Стабу 18b,2,55.0,900,30,3,7,1,Нов.,Панельно-кирпичный,Балкон,56.9574366,24.1255729,0
250,Пурвциемс,Вайдавас 2/3,1,30.0,235,30,4,5,0,Хрущ.,Панельный,,56.963077,24.170649,0
251,центр,Матиса 18,2,35.0,350,30,4,5,0,Дов. дом,Кирпичный,,56.9574978,24.1318607,0
252,Межциемс,Эйзенштейна 55,1,32.0,270,30,4,9,1,602-я,Панельно-кирпичный,Лоджия,56.9638014,24.2346186,0
253,центр,Стабу 18b,2,55.0,900,30,3,7,1,Спец. пр.,Панельный,Балкон,56.9574366,24.1255729,0
254,р-он ул. Маскавас,Маскавас 146,2,30.0,320,30,2,4,1,Рекон.,Кирпично-панельный,,56.9377205,24.1476435,0
255,р-он ул. Маскавас,Маскавас 146,1,23.0,270,30,2,4,0,Нов.,Панельно-кирпичный,,56.9377205,24.1476435,0
256,Вецрига,Вецпилсетас 12,1,19.0,450,30,2,5,0,Рекон.,Каменный,Парковочное место,56.9461945,24.1126442,0
257,Пурвциемс,Вайдавас 3,2,37.0,370,30,1,5,0,Лит. пр.,Панельный,Парковочное место,56.9633249,24.1768646,0
258,Пурвциемс,Иерикю 60,2,53.0,315,30,4,9,1,Спец. пр.,Кирпичный,Балкон,56.9651732,24.1861551,0
259,центр,Бривибас 19,3,190.0,2750,30,3,6,1,Нов.,Каменный,Балкон,56.9522706,24.1140666,0
260,центр,Чака 41,1,38.0,30,1,2,2,0,Дов. дом,Деревянный,Парковочное место,56.9530255,24.1299459,1
261,центр,Републикас пл. 3,2,56.0,700,30,4,9,1,Нов.,Панельный,,56.9551153,24.0989652,0
262,Зиепниеккалнс,Валдекю 65,2,60.0,300,30,2,9,1,119-я,Панельно-кирпичный,"Балкон, Лоджия",56.9015557624679,24.110308918272516,0
263,центр,Авоту 11,2,60.0,360,30,3,6,0,Дов. дом,Каменный,,56.9507941,24.1291509,0
264,Зиепниеккалнс,Саулкалнес 3,2,38.0,300,30,1,5,0,Хрущ.,Кирпичный,,56.9154034,24.0977602,0
265,центр,Авоту 11,3,76.0,520,30,4,6,0,Дов. дом,Каменный,,56.9507941,24.1291509,0
